,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
340,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,18.7,36.3411,-0.006667684,0,0,-8.94864,22.6879488,-7.18317094,1.498,-2.6432,-19.1193,3.69117,-4.854954,21.46228618,
341,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49,32.7,36.3411,-0.001410284,1.603,0,-7.680192,27.5273856,-10.50547333,0.2996,-3.3512,-14.67075,3.671082,-2.869074,30.36406799,
342,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,16.5,36.3411,-0.002707832,0,0,-9.000768,24.862464,-9.35460163,0.2996,-4.9796,-15.04935,3.626628,-4.52049,22.22227454,
343,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18,23.9,36.3411,-0.002756612,2.519,0,-8.409984,25.4555136,-8.55630567,1.498,-4.366,-16.6584,3.69117,-3.752268,27.75906932,
344,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,31.2,36.3411,-0.003305116,2.519,0,-8.409984,26.1321984,-9.65090258,1.498,-4.366,-16.6584,3.608121,-2.409186,28.6006417,
345,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,17.5,36.3411,-0.003374492,0,0,-7.680192,22.8628224,-11.96190072,0.8988,-4.1536,-17.7942,3.586452,-5.502978,16.59292919,
346,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,17.2,36.3411,-0.006679608,0,0,-7.680192,22.4218368,-11.96190072,0.8988,-4.1536,-17.7942,3.390873,-6.621342,14.83469547,
347,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36,23.1,36.3411,-0.00202708,3.893,0,-7.454304,24.7712256,-12.74064231,1.1984,-4.1418,-16.94235,3.649599,-3.323736,25.24846521,
348,0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,390.94,5.99,24.5,36.3411,-0.001627084,3.664,0,-7.55856,25.223616,-12.4550888,1.1984,-3.304,-16.0905,3.635742,-3.130374,27.52270812,
349,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,26.6,36.3411,-0.003142516,1.832,0,-7.454304,26.3793024,-13.12396767,0.2996,-3.953,-18.64605,3.625605,-3.078114,22.21902921,
350,0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98,22.9,36.3411,-0.006732724,1.832,0,-7.454304,24.672384,-13.12396767,0.2996,-3.953,-18.64605,3.69117,-3.125148,20.52705161,
351,0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24.1,36.3411,-0.0086178,2.748,0,-7.141536,25.0107264,-15.98726481,1.1984,-4.8498,-17.32095,3.448254,-2.869074,20.56923779,
352,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79,18.6,36.3411,-0.007852496,2.748,0,-7.141536,22.3686144,-15.98726481,1.1984,-4.8498,-17.32095,3.648669,-4.071054,16.92632609,
353,0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17,384.46,4.5,30.1,36.3411,-0.001852556,4.122,0,-7.12416,25.5771648,-18.10122655,1.498,-2.2066,-16.0905,3.575478,-2.3517,25.23770369,
354,0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22,382.8,8.05,18.2,36.3411,-0.004662284,3.664,0,-7.176288,21.5284608,-15.80127439,1.1984,-3.9412,-20.823,3.56004,-4.20693,14.33864613,
355,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,376.04,5.57,20.6,36.3411,-0.011554356,3.664,0,-7.176288,22.5662976,-15.80127439,1.1984,-3.9412,-20.823,3.497172,-2.910882,16.60277085,
356,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6,17.8,36.3411,-0.973752864,0,2.7187,-13.37952,23.6155392,-3.16780794,7.1904,-7.8588,-19.1193,3.512889,-9.19776,19.6816874,
357,3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,391.34,13.27,21.7,36.3411,-0.41730748,0,2.7187,-13.37952,24.311232,-3.73951204,7.1904,-7.8588,-19.1193,3.639462,-6.934902,22.75155248,
358,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,22.7,36.3411,-0.563871868,0,2.7187,-13.37952,23.2924032,-4.06417429,7.1904,-7.8588,-19.1193,3.677499,-5.999448,22.23498804,
359,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,22.6,36.3411,-0.461926004,0,0,-13.37952,23.2353792,-3.74533357,7.1904,-7.8588,-19.1193,3.633882,-6.621342,19.21453963,
360,4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,374.56,7.79,25,36.3411,-0.492344128,0,0,-13.37952,24.3226368,-3.75891714,7.1904,-7.8588,-19.1193,3.483408,-4.071054,22.65760953,
361,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,19.9,36.3411,-0.415913456,0,0,-13.37952,23.7638016,-3.42649285,7.1904,-7.8588,-19.1193,3.261045,-7.415694,18.94062629,
362,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,20.8,36.3411,-0.398719048,0,0,-13.37952,20.3841792,-3.14004372,7.1904,-7.8588,-19.1193,3.541347,-5.325294,18.23534943,
363,4.22239,0,18.1,1,0.77,5.803,89,1.9047,24,666,20.2,353.04,14.64,16.8,36.3411,-0.457707076,0,2.7187,-13.37952,22.0606848,-2.84314569,7.1904,-7.8588,-19.1193,3.283272,-7.650864,20.28482003,
364,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,21.9,36.3411,-0.376611952,0,2.7187,-12.475968,33.378048,-2.84314569,7.1904,-7.8588,-19.1193,3.297315,-2.764554,37.48718336,
365,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,27.5,36.3411,-0.493856308,0,0,-12.475968,13.5374976,-2.40802364,7.1904,-7.8588,-19.1193,3.29871,-3.720912,14.29084765,
366,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14,21.9,36.3411,-0.40074938,0,0,-12.475968,18.8673408,-2.61565821,7.1904,-7.8588,-19.1193,2.939079,-7.3164,15.55104421,
367,13.5222,0,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,131.42,13.33,23.1,36.3411,-1.46580648,0,0,-10.964256,14.6855808,-2.25487262,7.1904,-7.8588,-19.1193,1.222206,-6.966258,10.8099937,
368,4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26,50,36.3411,-0.530967048,0,0,-10.964256,18.893952,-1.98902275,7.1904,-7.8588,-19.1193,3.492336,-1.703676,23.7517662,
369,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73,50,36.3411,-0.614625832,0,2.7187,-10.964256,25.4060928,-2.02514609,7.1904,-7.8588,-19.1193,3.490569,-1.949298,32.61543588,
370,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,50,36.3411,-0.708801584,0,2.7187,-10.964256,26.6720256,-1.79482248,7.1904,-7.8588,-19.1193,3.646065,-1.546896,34.57541454,
371,9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,366.15,9.53,50,36.3411,-1.00078132,0,0,-10.964256,23.6307456,-1.74511557,7.1904,-7.8588,-19.1193,3.405195,-4.980378,24.89880971,
372,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,50,36.3411,-0.8961699,0,2.7187,-11.607168,22.3344,-1.68615392,7.1904,-7.8588,-19.1193,3.235284,-4.640688,26.01160418,
373,11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,396.9,34.77,13.8,36.3411,-1.20411804,0,0,-11.607168,18.6506496,-1.75272834,7.1904,-7.8588,-19.1193,3.69117,-18.170802,6.16040322,
374,18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,396.9,37.97,13.8,36.3411,-2.00520488,0,0,-11.607168,15.7310208,-1.6971999,7.1904,-7.8588,-19.1193,3.69117,-19.843122,0.82289602,
375,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,15,36.3411,-2.12562644,0,0,-11.659296,27.8011008,-1.96484101,7.1904,-7.8588,-19.1193,3.69117,-7.023744,25.27216335,
376,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,13.9,36.3411,-1.6572192,0,0,-11.659296,25.2768384,-2.00753223,7.1904,-7.8588,-19.1193,3.376086,-12.145224,17.73705297,
377,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24,13.3,36.3411,-1.064866316,0,0,-11.659296,25.8280704,-2.0270866,7.1904,-7.8588,-19.1193,3.69117,-11.100024,20.22136748,
378,23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,13.1,36.3411,-2.56346488,0,0,-11.659296,24.254208,-2.06903147,7.1904,-7.8588,-19.1193,3.69117,-12.380394,15.82659165,
379,17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,393.74,21.78,10.2,36.3411,-1.93675028,0,0,-11.659296,23.6573568,-2.06903147,7.1904,-7.8588,-19.1193,3.661782,-11.382228,16.82523305,
380,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,10.4,36.3411,-9.64502008,0,0,-11.659296,26.4895488,-2.11440955,7.1904,-7.8588,-19.1193,3.69117,-8.993946,14.32144717,
381,15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,10.9,36.3411,-1.72078496,0,0,-11.659296,24.881472,-2.26770984,7.1904,-7.8588,-19.1193,3.69117,-11.016408,18.4618432,
382,9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,396.9,23.6,11.3,36.3411,-0.995872968,0,0,-12.1632,21.0456576,-2.35906308,7.1904,-7.8588,-19.1193,3.69117,-12.33336,13.43873155,
383,7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56,12.3,36.3411,-0.866384832,0,0,-12.1632,20.984832,-2.28845837,7.1904,-7.8588,-19.1193,3.69117,-12.835056,13.0763028,
384,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,8.8,36.3411,-2.17720316,0,0,-12.1632,16.6053888,-2.14874165,7.1904,-7.8588,-19.1193,2.658219,-16.007238,3.32062499,
385,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,7.2,36.3411,-1.82239912,0,0,-12.1632,20.0610432,-2.12873947,7.1904,-7.8588,-19.1193,3.69117,-16.101306,8.08996861,
386,24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,396.9,28.28,10.5,36.3411,-2.64428792,0,0,-12.1632,17.6850432,-2.19008944,7.1904,-7.8588,-19.1193,3.69117,-14.779128,6.15290784,
387,22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99,7.4,36.3411,-2.44952564,0,0,-12.1632,19.008,-2.26651568,7.1904,-7.8588,-19.1193,3.69117,-16.717974,5.65535468,
388,14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,372.92,30.62,10.2,36.3411,-1.55377308,0,0,-12.1632,18.551808,-2.37264665,7.1904,-7.8588,-19.1193,3.468156,-16.002012,6.48173227,
389,8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,11.5,36.3411,-0.883648616,0,0,-12.1632,20.490624,-2.57953487,7.1904,-7.8588,-19.1193,3.69117,-10.89621,14.21260051,
390,6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,394.43,17.11,15.1,36.3411,-0.75469706,0,0,-12.1632,21.7185408,-2.87568655,7.1904,-7.8588,-19.1193,3.668199,-8.941686,17.20487019,
391,5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76,23.2,36.3411,-0.57376662,0,0,-12.1632,23.0034816,-3.23587506,7.1904,-7.8588,-19.1193,3.518934,-9.803976,17.29899792,
392,11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,396.9,25.68,9.7,36.3411,-1.25504436,0,0,-12.1632,19.1448576,-2.642079,7.1904,-7.8588,-19.1193,3.69117,-13.420368,9.90873624,
393,8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17,13.8,36.3411,-0.937091984,0,0,-12.041568,23.5433088,-2.67372424,7.1904,-7.8588,-19.1193,3.69117,-7.927842,20.20765258,
394,13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35,12.7,36.3411,-1.44820232,0,0,-12.041568,22.3800192,-2.66014067,7.1904,-7.8588,-19.1193,3.69117,-8.54451,17.93016821,
395,8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,13.1,36.3411,-0.9448957,0,0,-12.041568,24.6001536,-2.57595239,7.1904,-7.8588,-19.1193,3.645414,-8.946912,20.28963951,
396,5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,396.9,19.37,12.5,36.3411,-0.63653022,0,0,-12.041568,24.349248,-2.50295936,7.1904,-7.8588,-19.1193,3.69117,-10.122762,19.28999842,
397,7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92,8.5,36.3411,-0.831646968,0,0,-12.041568,21.8477952,-2.43817618,7.1904,-7.8588,-19.1193,3.65583,-10.410192,16.33544205,
398,38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59,5,36.3411,-4.15733512,0,0,-12.041568,20.7301248,-2.22352592,7.1904,-7.8588,-19.1193,3.69117,-15.986334,6.56593176,
399,9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97,6.3,36.3411,-1.07495402,0,0,-12.041568,22.2469632,-2.23964708,7.1904,-7.8588,-19.1193,3.144888,-15.662322,10.9267601,
400,25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,396.9,26.77,5.6,36.3411,-2.71499724,0,0,-12.041568,22.7601792,-2.37160176,7.1904,-7.8588,-19.1193,3.69117,-13.990002,11.8865802,
401,14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,396.9,20.32,7.2,36.3411,-1.54320408,0,0,-12.041568,24.1135488,-2.34965907,7.1904,-7.8588,-19.1193,3.69117,-10.619232,17.80445565,
402,9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.11,20.31,12.1,36.3411,-1.040174964,0,0,-12.041568,24.3454464,-2.4465353,7.1904,-7.8588,-19.1193,3.497823,-10.614006,18.25438514,
403,24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77,8.3,36.3411,-2.68850428,0,0,-12.041568,20.3347584,-2.54176956,7.1904,-7.8588,-19.1193,3.69117,-10.331802,12.97568456,
404,41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38,8.5,36.3411,-4.50176528,0,0,-12.041568,21.0266496,-2.39936598,7.1904,-7.8588,-19.1193,3.063978,-14.308788,7.39254034,
405,67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,384.97,22.98,5,36.3411,-7.36261472,0,0,-12.041568,21.6044928,-2.12769458,7.1904,-7.8588,-19.1193,3.580221,-12.009348,8.1968885,
406,20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34,11.9,36.3411,-2.24563608,0,0,-11.450784,15.7310208,-1.75854987,7.1904,-7.8588,-19.1193,3.443046,-12.197484,8.07501285,
407,11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13,27.9,36.3411,-1.29549924,0,0,-11.450784,21.3193728,-1.91841804,7.1904,-7.8588,-19.1193,3.088437,-6.339138,19.95737052,
408,7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4,17.2,36.3411,-0.802581676,0,0,-10.373472,21.3535872,-2.17143069,7.1904,-7.8588,-19.1193,2.926152,-13.79664,13.68901483,
409,14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,179.36,19.78,27.5,36.3411,-1.56511172,0,0,-10.373472,26.0485632,-2.18755185,7.1904,-7.8588,-19.1193,1.668048,-10.337028,19.80684763,
410,51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,2.6,10.11,15,36.3411,-5.54312072,0,0,-10.373472,21.8858112,-2.1091851,7.1904,-7.8588,-19.1193,0.02418,-5.283486,15.15412738,
411,14.0507,0,18.1,0,0.597,6.657,100,1.5275,24,666,20.2,35.05,21.22,17.2,36.3411,-1.52309588,0,0,-10.373472,25.3072512,-2.28009925,7.1904,-7.8588,-19.1193,0.325965,-11.089572,16.92037707,
412,18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,28.79,34.37,17.9,36.3411,-2.0391124,0,0,-10.373472,17.5938048,-2.31950653,7.1904,-7.8588,-19.1193,0.267747,-17.961762,1.72109887,
413,28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,210.97,20.08,16.3,36.3411,-3.10628872,0,0,-10.373472,19.597248,-2.37249738,7.1904,-7.8588,-19.1193,1.962021,-10.493808,11.7666029,
414,45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,88.27,36.98,7,36.3411,-4.95887724,0,0,-12.041568,17.1794304,-2.47519514,7.1904,-7.8588,-19.1193,0.820911,-19.325748,-4.24764698,
415,18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,27.25,29.05,7.2,36.3411,-1.96037064,0,0,-11.798304,24.4594944,-2.73865669,7.1904,-7.8588,-19.1193,0.253425,-15.18153,9.58745807,
416,10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79,7.5,36.3411,-1.17442728,0,0,-11.798304,25.7824512,-2.71596765,7.1904,-7.8588,-19.1193,0.200601,-13.477854,13.36989927,
417,25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64,10.4,36.3411,-2.81196104,0,0,-11.798304,20.1636864,-2.45922325,7.1904,-7.8588,-19.1193,1.184448,-13.922064,6.90998211,
418,73.5341,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,16.45,20.62,8.8,36.3411,-7.97109644,0,0,-11.798304,22.6461312,-2.69074102,7.1904,-7.8588,-19.1193,0.152985,-10.776012,6.11636274,
419,11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,8.4,36.3411,-1.28045332,0,0,-12.475968,25.9421184,-2.6779038,7.1904,-7.8588,-19.1193,0.450585,-11.883924,14.62785428,
420,11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02,16.7,36.3411,-1.20187416,0,0,-12.475968,24.3720576,-2.77478003,7.1904,-7.8588,-19.1193,2.964375,-7.849452,19.58775841,
421,7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7,14.2,36.3411,-0.761248756,0,0,-12.475968,22.8324096,-2.79821542,7.1904,-7.8588,-19.1193,2.975814,-8.20482,18.12137142,
422,12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,20.8,36.3411,-1.30602488,0,0,-10.668864,21.4714368,-2.91255624,7.1904,-7.8588,-19.1193,2.711415,-7.36866,18.48014668,
423,7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,13.4,36.3411,-0.764265528,0,0,-10.668864,23.2011648,-3.01794086,7.1904,-7.8588,-19.1193,0.023436,-12.171354,13.15557641,
424,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16,11.7,36.3411,-0.953065808,0,0,-10.147584,21.155904,-3.08018645,7.1904,-7.8588,-19.1193,0.033945,-8.967816,14.59459674,
425,15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,8.3,36.3411,-1.71925652,0,0,-11.798304,22.4142336,-2.85045992,7.1904,-7.8588,-19.1193,0.071424,-12.746214,9.92482316,
426,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69,10.2,36.3411,-1.32759648,0,0,-10.147584,22.1899392,-2.98181752,7.1904,-7.8588,-19.1193,0.229245,-8.199594,16.3159922,
427,37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,18.82,14.52,10.9,36.3411,-4.08254996,0,0,-11.798304,23.5775232,-2.78075083,7.1904,-7.8588,-19.1193,0.175026,-7.588152,14.05619241,
428,7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52,11,36.3411,-0.798594724,0,0,-11.798304,23.5433088,-2.88927012,7.1904,-7.8588,-19.1193,0.899589,-11.246352,14.26377696,
429,9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08,9.5,36.3411,-1.012335676,0,0,-11.798304,24.254208,-2.93793214,7.1904,-7.8588,-19.1193,0.564696,-12.584208,13.03952418,
430,8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,14.5,36.3411,-0.920546892,0,0,-10.147584,24.1325568,-3.06406529,7.1904,-7.8588,-19.1193,0.776085,-9.218664,18.11118162,
431,10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69,14.1,36.3411,-1.09075332,0,0,-10.147584,25.9763328,-3.11705614,7.1904,-7.8588,-19.1193,0.756369,-10.289994,18.64071434,
432,6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03,16.1,36.3411,-0.69853502,0,0,-10.147584,24.42528,-3.28453708,7.1904,-7.8588,-19.1193,0.910935,-6.286878,21.4720809,
433,5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,14.3,36.3411,-0.604987988,0,0,-12.389088,24.4670976,-3.45679466,7.1904,-7.8588,-19.1193,0.931767,-8.476572,17.02482195,
434,13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,100.63,15.17,11.7,36.3411,-1.50821256,0,0,-12.389088,23.6003328,-3.31707794,7.1904,-7.8588,-19.1193,0.935859,-7.927842,15.9473713,
435,11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27,13.4,36.3411,-1.20978736,0,0,-12.85824,25.2008064,-3.17153969,7.1904,-7.8588,-19.1193,1.021605,-12.160902,13.37534235,
436,14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05,9.6,36.3411,-1.56321472,0,0,-12.85824,24.5621376,-2.98928102,7.1904,-7.8588,-19.1193,0.255657,-9.43293,14.52752886,
437,15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,9.32,26.45,8.7,36.3411,-1.64520848,0,0,-12.85824,23.3874432,-2.85732634,7.1904,-7.8588,-19.1193,0.086676,-13.82277,8.84397438,
438,13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,8.4,36.3411,-1.48270604,0,0,-12.85824,22.562496,-2.71760962,7.1904,-7.8588,-19.1193,0.641235,-17.778852,4.91972334,
439,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88,12.8,36.3411,-1.017944292,0,0,-12.85824,21.3916032,-2.71253444,7.1904,-7.8588,-19.1193,3.69117,-11.957088,13.09036647,
440,22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.5,36.3411,-2.39033924,0,0,-12.85824,22.1177088,-2.78567674,7.1904,-7.8588,-19.1193,3.640485,-11.554686,12.72265182,
441,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52,17.1,36.3411,-1.054101112,0,0,-12.85824,24.3530496,-3.08257477,7.1904,-7.8588,-19.1193,3.589428,-10.201152,17.29980972,
442,5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59,18.4,36.3411,-0.614234508,0,0,-12.85824,23.6421504,-2.99256496,7.1904,-7.8588,-19.1193,3.679917,-8.669934,18.74049393,
443,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,386.73,18.85,15.4,36.3411,-1.080372936,0,0,-12.85824,24.653376,-2.95315768,7.1904,-7.8588,-19.1193,3.596589,-9.85101,18.06058438,
444,12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,10.8,36.3411,-1.38776932,0,0,-12.85824,22.2545664,-2.82956212,7.1904,-7.8588,-19.1193,2.236836,-12.432654,11.53657696,
445,10.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98,11.8,36.3411,-1.15682312,0,0,-12.85824,24.5545344,-2.96733833,7.1904,-7.8588,-19.1193,0.400458,-12.531948,11.99404295,
446,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,14.9,36.3411,-0.681626788,0,0,-12.85824,24.1059456,-3.0928744,7.1904,-7.8588,-19.1193,2.957493,-9.297054,17.68704341,
447,9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44,12.6,36.3411,-1.07585374,0,0,-12.85824,23.7638016,-3.2809546,7.1904,-7.8588,-19.1193,3.613236,-8.591544,18.12384526,
448,9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13,14.1,36.3411,-1.011273356,0,0,-12.389088,23.512896,-3.37589032,7.1904,-7.8588,-19.1193,3.69117,-9.474738,17.50647632,
449,7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31,13,36.3411,-0.815819484,0,0,-12.389088,24.3948672,-3.2615495,7.1904,-7.8588,-19.1193,2.829153,-10.091406,17.21955722,
450,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44,13.4,36.3411,-0.728200848,0,0,-12.389088,25.6569984,-3.46843772,7.1904,-7.8588,-19.1193,0.002976,-9.114144,16.51350383,
451,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73,15.2,36.3411,-0.589819576,0,0,-12.389088,25.299648,-3.51560704,7.1904,-7.8588,-19.1193,3.304197,-9.265698,19.39703238,
452,5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27,16.1,36.3411,-0.551774428,0,0,-12.389088,23.9386752,-3.53501214,7.1904,-7.8588,-19.1193,3.581337,-9.025302,18.57223563,
453,8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74,17.8,36.3411,-0.894092956,0,0,-12.389088,28.1052288,-3.66114529,7.1904,-7.8588,-19.1193,3.495591,-8.748324,22.46156955,
454,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,14.9,36.3411,-1.031277492,0,0,-12.389088,25.5771648,-3.72592847,7.1904,-7.8588,-19.1193,0.062124,-9.777846,15.26854884,
